creature_savage_domestics_giants

Adds in giant variations of all the domestic creatures

[OBJECT:CREATURE]

[CREATURE:SAVDOM_GIANT_DOG]
	[COPY_TAGS_FROM:DOG]
	[APPLY_CREATURE_VARIATION:SAVDOM_DOMESTIC_SETUP]
	[APPLY_CREATURE_VARIATION:GIANT]
	[CV_REMOVE_TAG:CHANGE_BODY_SIZE_PERC]
	[APPLY_CURRENT_CREATURE_VARIATION]
	
	[GO_TO_END]
	[SELECT_CASTE:ALL]
	[CHANGE_BODY_SIZE_PERC:670]
	
	[GO_TO_START]
	[NAME:giant dog:giant dogs:giant dog]
	[CASTE_NAME:giant dog:giant dogs:giant dog]
	[CREATURE_TILE:'D']
	[COLOR:6:0:0]
	
	[GENERAL_CHILD_NAME:giant puppy:giant puppies]
	[DESCRIPTION:A large monster in the form of a dog.]
	[POPULATION_NUMBER:10:20]
	[CLUSTER_NUMBER:3:5]
	
	[PET_EXOTIC]
	[PETVALUE:500]
	[MOUNT_EXOTIC]
	[GO_TO_END]
	[PREFSTRING:loyalty]
	
	[APPLY_CREATURE_VARIATION:STANDARD_QUADRUPED_GAITS:900:447:298:149:1900:2900] 59 kph
	[APPLY_CREATURE_VARIATION:STANDARD_SWIMMING_GAITS:9000:8900:8825:8775:9500:9900] 1 kph, NO DATA
	[APPLY_CREATURE_VARIATION:STANDARD_CRAWLING_GAITS:9000:8900:8825:8775:9500:9900] 1 kph, NO DATA

	--APPLY_CREATURE_VARIATION:LEATHER_TOUGH_FFF]

[CREATURE:SAVDOM_GIANT_CAT]
	[COPY_TAGS_FROM:CAT]
	[APPLY_CREATURE_VARIATION:SAVDOM_DOMESTIC_SETUP]
	[APPLY_CREATURE_VARIATION:GIANT]
	[CV_REMOVE_TAG:CHANGE_BODY_SIZE_PERC]
	[APPLY_CURRENT_CREATURE_VARIATION]
	
	[GO_TO_END]
	[SELECT_CASTE:ALL]
	[CHANGE_BODY_SIZE_PERC:4000]
	
	[GO_TO_START]
	[NAME:giant cat:giant cats:giant cat]
	[CASTE_NAME:giant cat:giant cats:giant cat]
	[CREATURE_TILE:'C']
	[COLOR:0:0:1]
	
	[GENERAL_CHILD_NAME:giant kitten:giant kittens]
	[DESCRIPTION:A large monster in the form of a cat.]
	[POPULATION_NUMBER:10:20]
	[CLUSTER_NUMBER:1:3]
	
	[PET_EXOTIC]
	[PETVALUE:500]
	[MOUNT_EXOTIC]
	[GO_TO_END]
	[PREFSTRING:aloofness]
	
	[APPLY_CREATURE_VARIATION:STANDARD_QUADRUPED_GAITS:900:549:366:183:1900:2900] 48 kph
	[APPLY_CREATURE_VARIATION:STANDARD_SWIMMING_GAITS:9000:8900:8825:8775:9500:9900] 1 kph, NO DATA
	[APPLY_CREATURE_VARIATION:STANDARD_CRAWLING_GAITS:9000:8900:8825:8775:9500:9900] 1 kph, NO DATA
	[APPLY_CREATURE_VARIATION:STANDARD_CLIMBING_GAITS:2990:2257:1525:731:4300:6100] 12 kph
	
	--APPLY_CREATURE_VARIATION:LEATHER_TOUGH_FFF]

[CREATURE:SAVDOM_GIANT_MULE]
	-- How do they even exist in the wild? Who knows!
	[COPY_TAGS_FROM:MULE]
	[APPLY_CREATURE_VARIATION:SAVDOM_DOMESTIC_SETUP]
	[APPLY_CREATURE_VARIATION:GIANT]
	[CV_REMOVE_TAG:CHANGE_BODY_SIZE_PERC]
	[APPLY_CURRENT_CREATURE_VARIATION]
	
	[GO_TO_END]
	[SELECT_CASTE:ALL]
	[CHANGE_BODY_SIZE_PERC:800]
	
	[GO_TO_START]
	[NAME:giant mule:giant mules:giant mule]
	[CASTE_NAME:giant mule:giant mules:giant mule]
	[CREATURE_TILE:'M'][COLOR:7:0:0]
	[GENERAL_CHILD_NAME:giant mule foal:giant mule foals]
	
	[DESCRIPTION:A huge monster in the form of a mule.]
	[POPULATION_NUMBER:15:30]
	[CLUSTER_NUMBER:1:4]
	
	[PET_EXOTIC]
	[PETVALUE:500]
	[MOUNT_EXOTIC]
	[GO_TO_END]
	[PREFSTRING:stubborness]
	
	[APPLY_CREATURE_VARIATION:STANDARD_QUADRUPED_GAITS:900:549:366:183:1900:2900] 48 kph
	[APPLY_CREATURE_VARIATION:STANDARD_SWIMMING_GAITS:9000:8900:8825:8775:9500:9900] 1 kph, NO DATA
	[APPLY_CREATURE_VARIATION:STANDARD_CRAWLING_GAITS:9000:8900:8825:8775:9500:9900] 1 kph, NO DATA

	--APPLY_CREATURE_VARIATION:LEATHER_TOUGH_FFF]

[CREATURE:SAVDOM_GIANT_DONKEY]
	[COPY_TAGS_FROM:DONKEY]
	[APPLY_CREATURE_VARIATION:SAVDOM_DOMESTIC_SETUP]
	[APPLY_CREATURE_VARIATION:GIANT]
	[CV_REMOVE_TAG:CHANGE_BODY_SIZE_PERC]
	[APPLY_CURRENT_CREATURE_VARIATION]
	
	[GO_TO_END]
	[SELECT_CASTE:ALL]
	[CHANGE_BODY_SIZE_PERC:800]
	
	[GO_TO_START]
	[NAME:giant donkey:giant donkeys:giant donkey]
	[CASTE_NAME:giant donkey:giant donkeys:giant donkey]
	[CREATURE_TILE:'D'][COLOR:6:0:0]
	[GENERAL_CHILD_NAME:giant donkey foal:giant donkey foals]
	
	[DESCRIPTION:A huge monster in the form of a donkey.]
	[POPULATION_NUMBER:15:30]
	[CLUSTER_NUMBER:1:4]
	
	[PET_EXOTIC]
	[PETVALUE:500]
	[MOUNT_EXOTIC]
	[GO_TO_END]
	[PREFSTRING:stubborness]
	
	[APPLY_CREATURE_VARIATION:STANDARD_QUADRUPED_GAITS:900:657:438:219:1900:2900] 40 kph
	[APPLY_CREATURE_VARIATION:STANDARD_SWIMMING_GAITS:9000:8900:8825:8775:9500:9900] 1 kph, NO DATA
	[APPLY_CREATURE_VARIATION:STANDARD_CRAWLING_GAITS:9000:8900:8825:8775:9500:9900] 1 kph, NO DATA
	
	--APPLY_CREATURE_VARIATION:LEATHER_TOUGH_FFF]

[CREATURE:SAVDOM_GIANT_HORSE]
	[COPY_TAGS_FROM:HORSE]
	[APPLY_CREATURE_VARIATION:SAVDOM_DOMESTIC_SETUP]
	[APPLY_CREATURE_VARIATION:GIANT]
	[CV_REMOVE_TAG:CHANGE_BODY_SIZE_PERC]
	[APPLY_CURRENT_CREATURE_VARIATION]
	
	[GO_TO_END]
	[SELECT_CASTE:ALL]
	[CHANGE_BODY_SIZE_PERC:800]
	
	[GO_TO_START]
	[NAME:giant horse:giant horses:giant equine]
	[CASTE_NAME:giant horse:giant horses:giant equine]
	[CREATURE_TILE:'H'][COLOR:7:0:0]
	[GENERAL_CHILD_NAME:giant horse foal:giant horse foals]
	
	[DESCRIPTION:A huge monster in the form of a horse.]
	[POPULATION_NUMBER:15:30]
	[CLUSTER_NUMBER:3:7]
	
	[PET_EXOTIC]
	[PETVALUE:500]
	[MOUNT_EXOTIC]
	
	[GO_TO_END]
	[PREFSTRING:strength]
	
	[APPLY_CREATURE_VARIATION:STANDARD_QUADRUPED_GAITS:900:375:250:125:1900:2900] 70 kph
	[APPLY_CREATURE_VARIATION:STANDARD_SWIMMING_GAITS:9000:8900:8825:8775:9500:9900] 1 kph, NO DATA
	[APPLY_CREATURE_VARIATION:STANDARD_CRAWLING_GAITS:9000:8900:8825:8775:9500:9900] 1 kph, NO DATA

	--APPLY_CREATURE_VARIATION:LEATHER_TOUGH_FFF]

[CREATURE:SAVDOM_GIANT_COW]
	[COPY_TAGS_FROM:COW]
	[APPLY_CREATURE_VARIATION:SAVDOM_DOMESTIC_SETUP]
	[APPLY_CREATURE_VARIATION:GIANT]
	[CV_REMOVE_TAG:CHANGE_BODY_SIZE_PERC]
	[APPLY_CURRENT_CREATURE_VARIATION]
	
	[GO_TO_END]
	[SELECT_CASTE:ALL]
	[CHANGE_BODY_SIZE_PERC:800]
	
	[GO_TO_START]
	[NAME:giant cow:giant cows:giant bovine]
	[CASTE_NAME:giant cow:giant cows:giant bovine]
	[CREATURE_TILE:'C'][COLOR:6:0:0]
	[GENERAL_CHILD_NAME:giant cow calf:giant cow calves]
	
	[DESCRIPTION:A huge monster in the form of a cow.]
	[POPULATION_NUMBER:15:30]
	[CLUSTER_NUMBER:1:4]
	
	[PET_EXOTIC]
	[PETVALUE:500]
	[MOUNT_EXOTIC]
	
	[GO_TO_END]
	[PREFSTRING:haunting moos]
	[APPLY_CREATURE_VARIATION:STANDARD_QUADRUPED_GAITS:900:722:545:325:1900:2900] 27 kph
	[APPLY_CREATURE_VARIATION:STANDARD_SWIMMING_GAITS:9000:8900:8825:8775:9500:9900] 1 kph, NO DATA
	[APPLY_CREATURE_VARIATION:STANDARD_CRAWLING_GAITS:9000:8900:8825:8775:9500:9900] 1 kph, NO DATA
	
	[SELECT_CASTE:MALE]
		[CASTE_NAME:giant bull:giant bulls:giant bull]
		[CHILDNAME:giant bull calf:giant bull calves]

	--APPLY_CREATURE_VARIATION:LEATHER_TOUGH_FFF]

[CREATURE:SAVDOM_GIANT_SHEEP]
	[COPY_TAGS_FROM:SHEEP]
	[APPLY_CREATURE_VARIATION:SAVDOM_DOMESTIC_SETUP]
	[APPLY_CREATURE_VARIATION:GIANT]
	[CV_REMOVE_TAG:CHANGE_BODY_SIZE_PERC]
	[APPLY_CURRENT_CREATURE_VARIATION]
	
	[GO_TO_END]
	[SELECT_CASTE:ALL]
	[CHANGE_BODY_SIZE_PERC:800]
	
	[GO_TO_START]
	[NAME:giant sheep:giant sheep:giant ovine]
	[CASTE_NAME:giant sheep:giant sheep:giant ovine]
	[CREATURE_TILE:'S'][COLOR:7:0:1]
	[GENERAL_CHILD_NAME:giant lamb:giant lambs]
	
	[DESCRIPTION:A huge monster in the form of a sheep.]
	[POPULATION_NUMBER:15:30]
	[CLUSTER_NUMBER:5:10]
	
	[PET_EXOTIC]
	[PETVALUE:500]
	[MOUNT_EXOTIC]
	
	[GO_TO_END]
	[PREFSTRING:tendency to flock]
	[PREFSTRING:wool]
	
	[APPLY_CREATURE_VARIATION:STANDARD_QUADRUPED_GAITS:900:730:561:351:1900:2900] 25 kph
	[APPLY_CREATURE_VARIATION:STANDARD_SWIMMING_GAITS:9000:8900:8825:8775:9500:9900] 1 kph, NO DATA
	[APPLY_CREATURE_VARIATION:STANDARD_CRAWLING_GAITS:9000:8900:8825:8775:9500:9900] 1 kph, NO DATA
	
	[SELECT_CASTE:FEMALE]
		[CASTE_NAME:giant ewe:giant ewes:giant ewe]
	[SELECT_CASTE:MALE]
		[CASTE_NAME:giant ram:giant rams:giant ram]


	--APPLY_CREATURE_VARIATION:LEATHER_TOUGH_FFF]

[CREATURE:SAVDOM_GIANT_PIG]
	[COPY_TAGS_FROM:PIG]
	[APPLY_CREATURE_VARIATION:SAVDOM_DOMESTIC_SETUP]
	[APPLY_CREATURE_VARIATION:GIANT]
	[CV_REMOVE_TAG:CHANGE_BODY_SIZE_PERC]
	[APPLY_CURRENT_CREATURE_VARIATION]
	
	[GO_TO_END]
	[SELECT_CASTE:ALL]
	[CHANGE_BODY_SIZE_PERC:800]
	
	[GO_TO_START]
	[NAME:giant pig:giant pigs:giant porcine]
	[CASTE_NAME:giant pig:giant pigs:giant porcine]
	[CREATURE_TILE:'P'][COLOR:5:0:1]
	[GENERAL_CHILD_NAME:giant piglet:giant piglets]
	
	[DESCRIPTION:A huge monster in the form of a pig.]
	[POPULATION_NUMBER:15:30]
	[CLUSTER_NUMBER:5:10]
	
	[PET_EXOTIC]
	[PETVALUE:500]
	[MOUNT_EXOTIC]
	
	[GO_TO_END]
	[PREFSTRING:snorts]
